Rank	First Name	Last Name	Domestic Box Office	Movies	Average
1	Robert	Downey Jr.	$5,374,149,735 	43	$124,980,226 
2	Samuel L.	Jackson	$5,234,777,328 	60	$87,246,289 
3	Scarlett	Johansson	$4,859,403,632 	28	$173,550,130 
4	Tom	Hanks	$4,692,293,839 	51	$92,005,762 
5	Bradley	Cooper	$4,263,310,067 	26	$163,973,464 
6	Tom	Cruise	$3,937,740,350 	42	$93,755,723 
7	Zoe	Saldana	$3,932,967,185 	26	$151,267,969 
8	Chris	Hemsworth	$3,915,069,280 	22	$177,957,695 
9	Chris	Pratt	$3,866,023,741 	17	$227,413,161 
10	Harrison	Ford	$3,850,910,074 	40	$96,272,752 
11	Chris	Evans	$3,782,386,348 	24	$157,599,431 
12	Johnny	Depp	$3,684,655,600 	51	$72,248,149 
13	Eddie	Murphy	$3,583,063,429 	41	$87,391,791 
14	Mark	Ruffalo	$3,337,411,035 	21	$158,924,335 
15	Vin	Diesel	$3,203,319,941 	23	$139,274,780 
16	Jeremy	Renner	$3,157,020,651 	16	$197,313,791 
17	Don	Cheadle	$3,146,203,952 	19	$165,589,682 
18	Will	Smith	$3,145,867,958 	31	$101,479,612 
19	Matt	Damon	$3,076,618,138 	40	$76,915,453 
20	Emma	Watson	$2,939,787,026 	15	$195,985,802 
21	Adam	Sandler	$2,818,230,720 	36	$78,284,187 
22	Bruce	Willis	$2,804,709,758 	60	$46,745,163 
23	Ben	Stiller	$2,797,049,842 	33	$84,759,086 
24	Chadwick	Boseman	$2,789,236,502 	10	$278,923,650 
25	Steve	Carell	$2,724,271,692 	27	$100,898,952 
26	Nicolas	Cage	$2,695,178,202 	79	$34,116,180 
27	Dwayne	Johnson	$2,654,751,064 	28	$94,812,538 
28	Jennifer	Lawrence	$2,590,513,015 	20	$129,525,651 
29	Robin	Williams	$2,587,460,319 	37	$69,931,360 
30	Josh	Brolin	$2,579,198,004 	19	$135,747,263 
31	Jim	Carrey	$2,577,210,851 	28	$92,043,245 
32	Sandra	Bullock	$2,568,508,554 	32	$80,265,892 
33	Daniel	Radcliffe	$2,525,743,852 	20	$126,287,193 
34	Hugh	Jackman	$2,519,206,278 	31	$81,264,719 
35	Robert De	Niro	$2,516,608,505 	68	$37,008,949 
36	Liam	Neeson	$2,514,360,924 	51	$49,301,195 
37	Benedict	Cumberbatch	$2,510,794,144 	13	$193,138,011 
38	Leonardo	DiCaprio	$2,490,291,307 	26	$95,780,435 
39	Cameron	Diaz	$2,466,552,080 	27	$91,353,781 
40	Denzel	Washington	$2,450,347,159 	46	$53,268,417 
41	Gwyneth	Paltrow	$2,442,953,328 	18	$135,719,629 
42	Elizabeth	Olsen	$2,435,285,938 	14	$173,948,996 
43	Ian	McKellen	$2,417,304,889 	17	$142,194,405 
44	Rupert	Grint	$2,391,965,593 	13	$183,997,353 
45	Sebastian	Stan	$2,382,147,912 	9	$264,683,101 
46	Tom	Hiddleston	$2,371,750,188 	12	$197,645,849 
47	Julia	Roberts	$2,361,801,371 	33	$71,569,739 
48	Ben	Affleck	$2,357,367,787 	37	$63,712,643 
49	Dave	Bautista	$2,351,938,505 	17	$138,349,324 
50	Paul	Bettany	$2,339,437,254 	13	$179,956,712 
51	Karen	Gillan	$2,336,318,724 	9	$259,590,969 
52	Brad	Pitt	$2,313,194,329 	40	$57,829,858 
53	John	Travolta	$2,279,768,233 	50	$45,595,365 
54	Ewan	McGregor	$2,241,473,293 	30	$74,715,776 
55	Mark	Wahlberg	$2,236,459,406 	33	$67,771,497 
56	Danai	Gurira	$2,214,356,882 	3	$738,118,961 
57	Letitia	Wright	$2,214,356,882 	6	$369,059,480 
58	Owen	Wilson	$2,203,928,252 	32	$68,872,758 
59	Will	Ferrell	$2,182,243,576 	32	$68,195,112 
60	Morgan	Freeman	$2,118,692,328 	38	$55,755,061 
61	Mel	Gibson	$2,111,484,427 	43	$49,104,289 
62	Natalie	Portman	$2,094,671,041 	31	$67,570,034 
63	George	Clooney	$2,066,805,818 	31	$66,671,155 
64	Mike	Myers	$2,057,881,734 	13	$158,298,595 
65	Sylvester	Stallone	$2,045,292,624 	44	$46,483,923 
66	Christian	Bale	$2,031,161,559 	32	$63,473,799 
67	Meryl	Streep	$2,013,769,184 	47	$42,846,153 
68	Kevin	Hart	$1,956,662,587 	23	$85,072,286 
69	Keanu	Reeves	$1,947,669,514 	46	$42,340,642 
70	Ryan	Reynolds	$1,916,837,472 	30	$63,894,582 
71	Pom	Klementieff	$1,907,131,550 	4	$476,782,888 
72	Shia	LaBeouf	$1,899,243,590 	25	$75,969,744 
73	Tim	Allen	$1,897,138,631 	19	$99,849,402 
74	Tom	Holland	$1,892,539,096 	11	$172,049,009 
75	Channing	Tatum	$1,854,728,900 	27	$68,693,663 
76	Paul	Rudd	$1,846,976,189 	26	$71,037,546 
77	Clint	Eastwood	$1,808,763,778 	47	$38,484,336 
78	Kevin	Costner	$1,805,076,368 	39	$46,284,009 
79	Dustin	Hoffman	$1,800,861,154 	30	$60,028,705 
80	Michael	Douglas	$1,794,977,942 	33	$54,393,271 
